"","CaseID","nClients","nMH","nClose","ratio"
"293",48805,11,8,3,0.73
"294",48810,7,1,3,0.14
"295",48817,7,5,2,0.71
"296",48820,5,1,2,0.2
"297",48828,5,3,3,0.6
"298",48851,6,1,4,0.17
"299",48879,15,3,2,0.2
"300",48947,7,3,2,0.43
"301",49016,5,2,2,0.4
"302",49055,4,2,3,0.5
"303",49081,7,1,2,0.14
"304",49086,4,1,2,0.25
"305",49188,7,0,3,0
"306",49410,11,3,2,0.27
"307",49447,8,1,4,0.12
"308",49456,6,2,2,0.33
"309",49551,4,1,2,0.25
"310",49562,3,0,2,0
"311",49568,6,4,4,0.67
"312",49584,5,4,3,0.8
"313",49634,6,2,2,0.33
"314",49662,7,3,3,0.43
"315",49678,6,2,2,0.33
"316",49680,5,2,2,0.4
"317",49689,5,1,2,0.2
"318",49740,5,3,2,0.6
"319",49870,4,1,4,0.25
"320",49946,8,4,2,0.5
"321",50096,4,2,2,0.5
"322",50199,8,2,3,0.25
"323",50263,7,4,2,0.57
"324",50545,3,2,3,0.67
"325",50644,8,4,2,0.5
"326",50647,4,3,3,0.75
"327",50662,6,4,3,0.67
"328",50805,5,4,2,0.8
"329",50813,5,4,5,0.8
"330",50815,9,4,3,0.44
"331",50867,6,3,3,0.5
"332",50874,6,4,2,0.67
"333",50942,8,1,2,0.12
"334",50985,4,1,2,0.25
"335",51053,7,5,2,0.71
"336",51085,8,3,3,0.38
"337",51098,7,5,2,0.71
"338",51129,7,2,4,0.29
"339",51132,5,4,2,0.8
"340",51178,3,1,2,0.33
"341",51184,5,4,2,0.8
"342",51196,4,2,2,0.5
"343",51306,8,3,2,0.38
"344",51334,6,1,2,0.17
"345",51337,5,0,2,0
"346",51343,5,3,2,0.6
"347",51388,3,0,2,0
"348",51404,6,2,3,0.33
"349",51416,5,3,2,0.6
"350",51473,7,3,2,0.43
"351",51485,3,0,1,0
"352",51645,9,4,3,0.44
"353",51650,8,4,2,0.5
"354",51689,3,2,4,0.67
"355",51692,5,0,2,0
"356",51693,7,2,2,0.29
"357",51696,5,2,2,0.4
"358",51908,6,2,4,0.33
"359",51910,7,5,1,0.71
"360",51922,6,1,2,0.17
"361",51950,10,4,5,0.4
"362",52005,4,1,2,0.25
